Reporting year,Remoteness Area,Sex,Potentially preventable hospitalisation (PPH) category,Potentially preventable hospitalisation (PPH) condition,Population,"PPH per 100,000 people (age-standardised)","PPH per 100,000 people (crude)",Number of PPH,Number of same day PPH,Percentage of PPH that are same day (%),Total PPH bed days,Average length of stay (days)
2015–16,Major cities,Females,Acute PPH,"Ear, nose and throat infections",8596512,166,165,"14,143","6,610",46.7,"21,604",1.5
2015–16,Major cities,Persons,Acute PPH,"Ear, nose and throat infections",17011458,163,163,"27,769","13,171",47.4,"41,503",1.5
2015–16,Major cities,Males,Acute PPH,"Ear, nose and throat infections",8414945,160,162,"13,626","6,561",48.2,"19,898",1.5
2015–16,Major cities,Males,Acute PPH,Eclampsia,8414945,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2015–16,Major cities,Persons,Acute PPH,Eclampsia,17011458,0,0,46,5,10.9,157,3.4
2015–16,Major cities,Females,Acute PPH,Eclampsia,8596512,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2015–16,Major cities,Females,Acute PPH,Epilepsy,8596512,63,63,"5,388","1,585",29.4,"17,848",3.3
2015–16,Major cities,Males,Acute PPH,Epilepsy,8414945,80,80,"6,736","2,200",32.7,"21,345",3.2
2015–16,Major cities,Persons,Acute PPH,Epilepsy,17011458,72,71,"12,126","3,786",31.2,"39,195",3.2
2015–16,Major cities,Males,Acute PPH,Gangrene,8414945,50,50,"4,228",514,12.2,"56,553",13.4
2015–16,Major cities,Persons,Acute PPH,Gangrene,17011458,41,44,"7,486",844,11.3,"103,049",13.8
2015–16,Major cities,Females,Acute PPH,Gangrene,8596512,33,38,"3,257",330,10.1,"46,497",14.3
2015–16,Major cities,Females,Acute PPH,Pelvic inflammatory disease,8596512,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2015–16,Major cities,Persons,Acute PPH,Pelvic inflammatory disease,17011458,17,18,"2,980","1,099",36.9,"6,761",2.3
2015–16,Major cities,Males,Acute PPH,Pelvic inflammatory disease,8414945,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2015–16,Major cities,Males,Acute PPH,Perforated/bleeding ulcer,8414945,28,28,"2,353",199,8.4,"14,650",6.2
